doc_id,grid_acc,grid_ade,grid_fde,grid_transition_acc,token_f1
538,0.125,1.0359785406445547,1.4142135623730951,0.0,0.18181818181818182
539,0.125,1.060386308879009,1.4142135623730951,0.0,0.36363636363636365
540,0.0,1.0678090415820636,1.4142135623730951,0.0,0.36363636363636365
541,0.0,1.1020529755456758,1.4142135623730951,0.0,0.5454545454545454
542,0.125,1.0088834764831844,1.4142135623730951,0.0,0.18181818181818182
543,0.0,1.0505501431498512,1.4142135623730951,0.14285714285714285,0.36363636363636365
544,0.25,0.9672168098165178,1.4142135623730951,0.14285714285714285,0.36363636363636365
545,0.25,0.38511002862997024,0.0,0.0,0.625
546,0.0,1.4142135623730951,1.4142135623730951,0.0,0.0
547,0.125,0.4437617308280369,0.0,0.14285714285714285,0.625
548,0.0,1.4142135623730951,1.4142135623730951,0.0,0.0
549,0.125,1.060386308879009,1.4142135623730951,0.0,0.36363636363636365
550,0.0,1.0505501431498512,1.4142135623730951,0.14285714285714285,0.18181818181818182
551,0.0,1.0505501431498512,1.4142135623730951,0.0,0.36363636363636365
552,0.25,0.46343406228635275,0.0,0.14285714285714285,0.375
553,0.25,0.37768729592691586,0.0,0.14285714285714285,0.625
554,0.125,1.0261423749153968,1.4142135623730951,0.0,0.36363636363636365
555,0.125,0.4681694990624913,0.0,0.14285714285714285,0.5
556,0.0,1.2127552359411915,1.4142135623730951,0.0,0.0
557,0.125,0.38511002862997024,0.33333333333333337,0.14285714285714285,0.5
558,0.0,1.0505501431498512,1.4142135623730951,0.0,0.36363636363636365
559,0.0,1.4142135623730951,1.4142135623730951,0.0,0.0
560,0.0,1.1118891412748337,1.4142135623730951,0.0,0.5454545454545454
561,0.125,0.4267766952966369,0.0,0.0,0.625
562,0.0,1.0678090415820636,1.4142135623730951,0.0,0.36363636363636365
563,0.125,1.0088834764831844,1.4142135623730951,0.0,0.5454545454545454
564,0.0,1.0678090415820636,1.4142135623730951,0.0,0.36363636363636365
565,0.0,1.1020529755456758,1.4142135623730951,0.0,0.5454545454545454
566,0.125,0.4955384261246738,0.0,0.0,0.375
567,0.0,1.0678090415820636,1.4142135623730951,0.0,0.18181818181818182
568,0.0,1.4142135623730951,1.4142135623730951,0.0,0.0
569,0.25,0.9672168098165178,1.4142135623730951,0.14285714285714285,0.36363636363636365
570,0.0,1.4142135623730951,1.4142135623730951,0.0,0.0
571,0.0,1.0505501431498512,1.4142135623730951,0.0,0.18181818181818182
572,0.0,0.5616128610257949,0.33333333333333337,0.14285714285714285,0.25
573,0.0,1.0678090415820636,1.4142135623730951,0.0,0.5454545454545454
574,0.0,1.178237439076767,1.4142135623730951,0.0,0.0
575,0.0,1.0505501431498512,1.4142135623730951,0.0,0.36363636363636365
576,0.0,1.0678090415820636,1.4142135623730951,0.0,0.36363636363636365
577,0.0,1.4142135623730951,1.4142135623730951,0.0,0.0
578,0.0,1.060386308879009,1.4142135623730951,0.0,0.18181818181818182
579,0.0,1.0505501431498512,1.4142135623730951,0.0,0.36363636363636365
580,0.0,1.0850679400142758,1.4142135623730951,0.14285714285714285,0.36363636363636365
581,0.125,1.060386308879009,1.4142135623730951,0.0,0.36363636363636365
